model_label,dataset,signal,description,n,spearman_rho,spearman_p,point_biserial_r,point_biserial_p
Mistral 7B,TempEval-3,ltl_corroboration_count,Count of invariant-corroborating LTL violations (contradiction + inconsistency + hallucination),496,-0.05512119474845862,0.22040882644784202,,
Qwen 3.5 9B,TempEval-3,is_valid,Graph validity flag (binary),417,-0.049882492910533226,0.30953206317994714,-0.049882492910533205,0.30953206317994736
Qwen 3.5 9B,TempEval-3,trace_grounded,Reasoning trace groundedness (binary),417,0.09835297971638558,0.04472146779928026,0.09835297971638558,0.044721467799280316
Qwen 3.5 9B,TempEval-3,violation_count,Total structural violation count,417,-0.09835297971638558,0.04472146779928026,,
Qwen 3.5 9B,TempEval-3,first_violation_step,Step index of first violation (NaN when none),13,0.40969798317499057,0.16444111467826095,,
Qwen 3.5 9B,TempEval-3,ltl_genuine_violation_count,Count of genuine LTL violations (unsupported_commitment + trace_inversion),417,0.049882492910533226,0.30953206317994714,,
Qwen 3.5 9B,TempEval-3,ltl_corroboration_count,Count of invariant-corroborating LTL violations (contradiction + inconsistency + hallucination),417,nan,nan,,
DeepSeek R1 7B,MAVEN-ERE,is_valid,Graph validity flag (binary),468,0.09881437802368244,0.03258188149925542,0.09881437802368237,0.03258188149925605
DeepSeek R1 7B,MAVEN-ERE,trace_grounded,Reasoning trace groundedness (binary),468,0.09881437802368244,0.03258188149925542,0.09881437802368237,0.03258188149925605
DeepSeek R1 7B,MAVEN-ERE,violation_count,Total structural violation count,468,-0.1006216320910259,0.029519093758205585,,
DeepSeek R1 7B,MAVEN-ERE,first_violation_step,Step index of first violation (NaN when none),16,0.8320502943378436,6.40307240965356e-05,,
DeepSeek R1 7B,MAVEN-ERE,ltl_genuine_violation_count,Count of genuine LTL violations (unsupported_commitment + trace_inversion),468,0.05624327711508133,0.2245813610342581,,
DeepSeek R1 7B,MAVEN-ERE,ltl_corroboration_count,Count of invariant-corroborating LTL violations (contradiction + inconsistency + hallucination),468,-0.1463551455923941,0.0014994483750117734,,
Gemma 3 12B,MAVEN-ERE,is_valid,Graph validity flag (binary),500,nan,nan,nan,nan
Gemma 3 12B,MAVEN-ERE,trace_grounded,Reasoning trace groundedness (binary),500,nan,nan,nan,nan
Gemma 3 12B,MAVEN-ERE,violation_count,Total structural violation count,500,nan,nan,,
Gemma 3 12B,MAVEN-ERE,first_violation_step,Step index of first violation (NaN when none),0,nan,nan,,
Gemma 3 12B,MAVEN-ERE,ltl_genuine_violation_count,Count of genuine LTL violations (unsupported_commitment + trace_inversion),500,nan,nan,,
Gemma 3 12B,MAVEN-ERE,ltl_corroboration_count,Count of invariant-corroborating LTL violations (contradiction + inconsistency + hallucination),500,nan,nan,,
Llama 3.1 8B,MAVEN-ERE,is_valid,Graph validity flag (binary),499,0.03178150962117352,0.4787318919877187,0.03178150962117349,0.47873189198771965
Llama 3.1 8B,MAVEN-ERE,trace_grounded,Reasoning trace groundedness (binary),499,0.03178150962117352,0.4787318919877187,0.03178150962117349,0.47873189198771965
Llama 3.1 8B,MAVEN-ERE,violation_count,Total structural violation count,499,-0.03178150962117352,0.4787318919877187,,
Llama 3.1 8B,MAVEN-ERE,first_violation_step,Step index of first violation (NaN when none),1,nan,nan,,
Llama 3.1 8B,MAVEN-ERE,ltl_genuine_violation_count,Count of genuine LTL violations (unsupported_commitment + trace_inversion),499,nan,nan,,
Llama 3.1 8B,MAVEN-ERE,ltl_corroboration_count,Count of invariant-corroborating LTL violations (contradiction + inconsistency + hallucination),499,-0.03178150962117352,0.4787318919877187,,
Mistral 7B,MAVEN-ERE,is_valid,Graph validity flag (binary),499,-0.231255878681397,1.752070557514364e-07,-0.23125587868139702,1.7520705575143157e-07
Mistral 7B,MAVEN-ERE,trace_grounded,Reasoning trace groundedness (binary),499,-0.021597327221200203,0.630307592967702,-0.021597327221200203,0.6303075929676997
Mistral 7B,MAVEN-ERE,violation_count,Total structural violation count,499,-0.02363050731898493,0.5984607975825291,,
Mistral 7B,MAVEN-ERE,first_violation_step,Step index of first violation (NaN when none),288,0.06934650885294287,0.24073807151942916,,
Mistral 7B,MAVEN-ERE,ltl_genuine_violation_count,Count of genuine LTL violations (unsupported_commitment + trace_inversion),499,0.23501393862766284,1.088970598440368e-07,,
Mistral 7B,MAVEN-ERE,ltl_corroboration_count,Count of invariant-corroborating LTL violations (contradiction + inconsistency + hallucination),499,-0.0968450140553338,0.030540043991895725,,
Qwen 3.5 9B,MAVEN-ERE,is_valid,Graph validity flag (binary),371,0.1467078164032932,0.004631677653790887,0.14670781640329306,0.004631677653790868
Qwen 3.5 9B,MAVEN-ERE,trace_grounded,Reasoning trace groundedness (binary),371,nan,nan,nan,nan
Qwen 3.5 9B,MAVEN-ERE,violation_count,Total structural violation count,371,nan,nan,,
Qwen 3.5 9B,MAVEN-ERE,first_violation_step,Step index of first violation (NaN when none),6,0.0,1.0,,
Qwen 3.5 9B,MAVEN-ERE,ltl_genuine_violation_count,Count of genuine LTL violations (unsupported_commitment + trace_inversion),371,-0.1467078164032932,0.004631677653790887,,
Qwen 3.5 9B,MAVEN-ERE,ltl_corroboration_count,Count of invariant-corroborating LTL violations (contradiction + inconsistency + hallucination),371,nan,nan,,
